Name           Surname                       ND1       ND2       ND3            ND4            ND5            FINAL  
Name5806            Surname5806         6              1              1              1              1              1.4            
Name8005            Surname8005         3              3              1              3              1              1.48           
Name2792            Surname2792         2              2              3              3              2              1.56           
Name6464            Surname6464         1              1              4              1              5              1.56           
Name8585            Surname8585         2              1              1              7              1              1.56           
Name1924            Surname1924         2              3              5              1              2              1.64           
Name3050            Surname3050         1              2              4              2              4              1.64           
Name4062            Surname4062         5              1              1              1              5              1.64           
Name5828            Surname5828         1              4              2              5              1              1.64           
Name7896            Surname7896         2              2              1              1              7              1.64           
Name8264            Surname8264         2              1              3              1              6              1.64           
Name1161            Surname1161         5              4              1              3              1              1.72           
Name1684            Surname1684         4              1              6              1              2              1.72           
Name4617            Surname4617         1              8              1              3              1              1.72           
Name4976            Surname4976         1              2              2              2              7              1.72           
Name5299            Surname5299         3              7              1              2              1              1.72           
Name5814            Surname5814         5              1              3              1              4              1.72           
Name8746            Surname8746         3              6              2              1              2              1.72           
Name5795            Surname5795         1              1              1              1              3              1.76           
Name1310            Surname1310         9              2              2              1              1              1.8            
Name2298            Surname2298         6              1              3              2              3              1.8            
Name3857            Surname3857         5              2              4              3              1              1.8            
Name4724            Surname4724         1              1              2              2              9              1.8            
Name5514            Surname5514         5              3              3              1              3              1.8            
Name5672            Surname5672         3              3              5              2              2              1.8            
Name5718            Surname5718         1              7              4              1              2              1.8            
Name6722            Surname6722         1              1              1              4              8              1.8            
Name7359            Surname7359         1              4              6              1              3              1.8            
Name7733            Surname7733         1              2              1              3              8              1.8            
Name8979            Surname8979         2              1              6              1              5              1.8            
Name1159            Surname1159         3              2              1              1              9              1.88           
Name1687            Surname1687         1              1              7              1              6              1.88           
Name3093            Surname3093         5              2              1              2              6              1.88           
Name3517            Surname3517         5              3              2              2              4              1.88           
Name3946            Surname3946         4              2              7              2              1              1.88           
Name4774            Surname4774         1              5              1              4              5              1.88           
Name5065            Surname5065         4              7              1              3              1              1.88           
Name5316            Surname5316         2              1              4              8              1              1.88           
Name5460            Surname5460         7              5              2              1              1              1.88           
Name5815            Surname5815         1              3              2              5              5              1.88           
Name6867            Surname6867         1              2              9              3              1              1.88           
Name7348            Surname7348         1              3              1              6              5              1.88           
Name2048            Surname2048         2              7              2              3              3              1.96           
Name2716            Surname2716         3              1              2              8              3              1.96           
